DATE,Sales
6/1/1986,60.0336
7/1/1986,65.9077
8/1/1986,64.645
9/1/1986,61.1742
10/1/1986,57.6978
11/1/1986,59.4964
12/1/1986,68.3302
1/1/1987,74.0173
2/1/1987,70.254
3/1/1987,65.7966
4/1/1987,60.3229
5/1/1987,59.0245
6/1/1987,64.0345
7/1/1987,69.0282
8/1/1987,70.2369
9/1/1987,64.2987
10/1/1987,60.5402
11/1/1987,62.6219
12/1/1987,70.7671
1/1/1988,80.0833
2/1/1988,76.3631
3/1/1988,70.4954
4/1/1988,63.4244
5/1/1988,61.5776
6/1/1988,67.2741
7/1/1988,73.1676
8/1/1988,75.9479
9/1/1988,67.7223
10/1/1988,63.4592
11/1/1988,65.2706
12/1/1988,74.0492
1/1/1989,78.1368
2/1/1989,76.8499
3/1/1989,73.5377
4/1/1989,65.2676
5/1/1989,63.8617
6/1/1989,68.6587
7/1/1989,74.2491
8/1/1989,75.2704
9/1/1989,69.5107
10/1/1989,66.062
11/1/1989,69.2555
12/1/1989,84.404
1/1/1990,84.6447
2/1/1990,77.4221
3/1/1990,73.4205
4/1/1990,67.4636
5/1/1990,66.0145
6/1/1990,71.6535
7/1/1990,76.8376
8/1/1990,77.3265
9/1/1990,73.277
10/1/1990,67.6237
11/1/1990,68.7675
12/1/1990,77.9179
1/1/1991,86.2914
2/1/1991,77.8027
3/1/1991,73.6061
4/1/1991,67.3549
5/1/1991,69.0228
6/1/1991,75.0839
7/1/1991,80.3488
8/1/1991,79.4052
9/1/1991,73.8126
10/1/1991,68.9572
11/1/1991,72.7156
12/1/1991,79.7391
1/1/1992,85.556
2/1/1992,80.4178
3/1/1992,74.739
4/1/1992,69.8367
5/1/1992,67.3781
6/1/1992,71.4197
7/1/1992,77.7263
8/1/1992,76.7791
9/1/1992,72.5681
10/1/1992,69.2363
11/1/1992,73.7175
12/1/1992,84.7818
1/1/1993,88.2287
2/1/1993,84.7919
3/1/1993,79.6885
4/1/1993,71.2731
5/1/1993,67.9111
6/1/1993,74.5503
7/1/1993,82.3366
8/1/1993,82.2906
9/1/1993,74.8323
10/1/1993,69.8758
11/1/1993,74.6278
12/1/1993,84.4669
1/1/1994,94.4017
2/1/1994,87.4053
3/1/1994,79.4751
4/1/1994,71.1817
5/1/1994,69.5934
6/1/1994,78.1988
7/1/1994,83.5287
8/1/1994,82.1321
9/1/1994,75.9181
10/1/1994,71.4802
11/1/1994,75.4754
12/1/1994,85.0772
1/1/1995,92.7412
2/1/1995,87.667
3/1/1995,81.5205
4/1/1995,74.0457
5/1/1995,73.5003
6/1/1995,78.5503
7/1/1995,86.2425
8/1/1995,89.8063
9/1/1995,78.7442
10/1/1995,73.9353
11/1/1995,79.8903
12/1/1995,91.0933
1/1/1996,99.2688
2/1/1996,93.1691
3/1/1996,87.2075
4/1/1996,77.4715
5/1/1996,76.9337
6/1/1996,82.1958
7/1/1996,86.2321
8/1/1996,86.824
9/1/1996,79.4425
10/1/1996,74.911
11/1/1996,81.3
12/1/1996,90.753
1/1/1997,98.7482
2/1/1997,90.0486
3/1/1997,83.2671
4/1/1997,76.3793
5/1/1997,74.0777
6/1/1997,80.0138
7/1/1997,88.7168
8/1/1997,88.0487
9/1/1997,82.1801
10/1/1997,77.7266
11/1/1997,82.2802
12/1/1997,92.3623
1/1/1998,95.0701
2/1/1998,88.0838
3/1/1998,86.8125
4/1/1998,76.9828
5/1/1998,78.2652
6/1/1998,86.7123
7/1/1998,94.1078
8/1/1998,93.7954
9/1/1998,87.7915
10/1/1998,80.3296
11/1/1998,81.6742
12/1/1998,91.9551
1/1/1999,102.4467
2/1/1999,91.4671
3/1/1999,91.0236
4/1/1999,80.7497
5/1/1999,79.6373
6/1/1999,88.1204
7/1/1999,97.7757
8/1/1999,96.7014
9/1/1999,87.4885
10/1/1999,80.8647
11/1/1999,82.4395
12/1/1999,94.7746
1/1/2000,102.4971
2/1/2000,94.5218
3/1/2000,88.3463
4/1/2000,81.6662
5/1/2000,84.7235
6/1/2000,91.3293
7/1/2000,96.3011
8/1/2000,99.6734
9/1/2000,90.9515
10/1/2000,83.378
11/1/2000,88.2458
12/1/2000,102.6901
1/1/2001,109.3416
2/1/2001,97.3953
3/1/2001,93.0564
4/1/2001,83.1332
5/1/2001,82.7827
6/1/2001,90.6648
7/1/2001,96.3283
8/1/2001,99.8132
9/1/2001,88.5136
10/1/2001,82.9006
11/1/2001,83.1461
12/1/2001,93.2796
1/1/2002,103.2604
2/1/2002,95.4593
3/1/2002,93.51
4/1/2002,86.0517
5/1/2002,85.5043
6/1/2002,93.4856
7/1/2002,102.6936
8/1/2002,101.9121
9/1/2002,93.5608
10/1/2002,87.1293
11/1/2002,88.8047
12/1/2002,101.0439
1/1/2003,110.4292
2/1/2003,104.0828
3/1/2003,94.8015
4/1/2003,85.3124
5/1/2003,85.7418
6/1/2003,91.3695
7/1/2003,102.5243
8/1/2003,104.7716
9/1/2003,93.1841
10/1/2003,86.7534
11/1/2003,88.828
12/1/2003,103.8162
1/1/2004,113.996
2/1/2004,106.4378
3/1/2004,95.6626
4/1/2004,86.9849
5/1/2004,89.324
6/1/2004,95.8104
7/1/2004,102.1007
8/1/2004,100.4992
9/1/2004,94.2998
10/1/2004,87.7732
11/1/2004,89.8297
12/1/2004,105.9787
1/1/2005,111.4496
2/1/2005,101.9498
3/1/2005,99.2324
4/1/2005,86.6793
5/1/2005,87.3784
6/1/2005,99.7382
7/1/2005,108.8005
8/1/2005,109.9901
9/1/2005,99.5563
10/1/2005,90.1695
11/1/2005,90.6297
12/1/2005,108.4977
1/1/2006,104.8128
2/1/2006,101.631
3/1/2006,98.6932
4/1/2006,87.7034
5/1/2006,90.2388
6/1/2006,100.7836
7/1/2006,111.3696
8/1/2006,111.9898
9/1/2006,96.1212
10/1/2006,90.6869
11/1/2006,92.5922
12/1/2006,103.3658
1/1/2007,112.3854
2/1/2007,112.1298
3/1/2007,99.469
4/1/2007,91.045
5/1/2007,92.3001
6/1/2007,101.2636
7/1/2007,107.9356
8/1/2007,114.5031
9/1/2007,101.8592
10/1/2007,93.282
11/1/2007,94.1475
12/1/2007,107.0407
1/1/2008,115.1666
2/1/2008,108.519
3/1/2008,100.7093
4/1/2008,91.2094
5/1/2008,91.4431
6/1/2008,104.1756
7/1/2008,111.08
8/1/2008,107.8943
9/1/2008,98.0097
10/1/2008,91.2397
11/1/2008,94.0321
12/1/2008,109.6583
1/1/2009,117.1041
2/1/2009,104.6585
3/1/2009,98.0044
4/1/2009,88.3217
5/1/2009,87.7293
6/1/2009,97.5535
7/1/2009,104.1673
8/1/2009,106.0048
9/1/2009,95.0942
10/1/2009,89.3811
11/1/2009,89.4576
12/1/2009,110.8777
1/1/2010,119.2473
2/1/2010,110.7525
